id,abbreviation,category,generation,name,checksum,alternative_name,platform_family
156,,6.0,,Thomson MO5,5f4cdd4c-4bc0-2a7d-9842-5d1c5350ab4f,,
158,,6.0,,Commodore CDTV,5d48648e-283c-e2df-df7d-6d3cbc7e0a58,Commodore Dynamic Total Vision,
163,Steam VR,,,SteamVR,e2c8f5f7-2c50-5d2d-b9b9-1135281d38f4,,
237,,6.0,,Sol-20,c608e02f-1a92-d010-b161-4a368220bdfe,,
13,DOS,4.0,,DOS,9aabba9b-eb06-5274-26e1-250114855890,PC DOS,
24,GBA,5.0,6.0,Game Boy Advance,f9f58c45-16c0-f760-1556-ce3fe6cd93be,GBA,5.0
30,Sega32,1.0,4.0,Sega 32X,71e35e2d-dd35-dc89-1c54-b8286b4b7050,,3.0
85,donner30,6.0,,Donner Model 30,c11154b6-9734-c8fa-a9d3-9b56ffb1e4d9,,
119,,5.0,5.0,Neo Geo Pocket,c0ff62cb-db50-1c63-765f-b470e0393069,NGP,
41,WiiU,1.0,8.0,Wii U,f89734ee-569c-b25c-0ae0-6eb11b2224dd,Project Cafe,5.0
53,MSX2,6.0,,MSX2,d6f6cc07-f15c-1fab-6372-734d874684c8,,
140,,6.0,,AY-3-8500,4498fc10-b5fa-0a7f-1026-7347c4a2fe19,,
143,,1.0,,AY-3-8760,69436aa6-6d7d-bb63-d775-444b6893301b,,
60,Atari7800,1.0,3.0,Atari 7800,75e3ee56-5254-ea30-b5be-131e33ff2004,Atari 7800 ProSystem,
70,vectrex,1.0,2.0,Vectrex,5140484a-7fd8-2a13-2542-a9207d7c9fd4,,
145,,1.0,,AY-3-8603,0124f86d-b875-8d9e-8c78-95c7fc47de08,,
77,x1,6.0,,Sharp X1,c3265f1f-9c3e-fc18-b8e9-cf288b499e95,,
78,segacd,1.0,4.0,Sega CD,68c11f76-6ea3-f708-1c6e-f5a390d37c54,Mega CD,3.0
87,virtualboy,1.0,5.0,Virtual Boy,bf67e603-dad2-4b4f-60f4-42ba62849a26,VB,5.0
97,pdp-8,6.0,,PDP-8,eab6eb03-90f9-c8ea-fb65-a98533fb31b6,,
98,gt40,,,DEC GT40,479fe519-86c9-0bd1-0c72-311b125e7886,,
101,nimrod,6.0,,Ferranti Nimrod Computer,9210f8a2-3f26-bea5-592a-dc573e2e8731,,
108,pdp11,6.0,,PDP-11,ad20351c-ef97-5b68-3166-ebe599a36a0a,,
109,cdccyber70,6.0,,CDC Cyber 70,30a78a03-7d24-5580-2167-22682ab2208c,,
112,microcomputer,,,Microcomputer,49f7f77d-42a9-0cae-368f-6f9475275e1f,,
113,,3.0,,OnLive Game System,1fc33df6-3737-8f0c-416b-fa128bd6e8b3,,
115,,6.0,,Apple IIGS,0b68ee2c-4b62-f6a4-8e27-8c1b55047bbe,,
120,,5.0,5.0,Neo Geo Pocket Color,34fcdc12-7b48-c959-7814-301a9f0dddeb,NGPC,
124,,5.0,,SwanCrystal,9d836c39-3419-65f8-02ff-9fe73e6b6716,,
125,,6.0,,PC-8800 Series,33a7cc0c-fcec-d451-a9f4-accaef020a7b,,
127,,1.0,2.0,Fairchild Channel F,b4d6f25f-ace0-cb99-d2f5-955445d991b0,,
132,,3.0,,Amazon Fire TV,db7a1f28-dc0d-68b1-c31e-94f43b9643b1,,
