id,games,name,checksum
634,"[12500, 218324]",Total Recall,75567cc5-649c-5853-883e-bf4921be9f65
721,"[11209, 11210, 11211, 11212, 11213, 24299, 25078, 74384, 119057, 254337]",Star Ocean,1164e2c3-290f-f687-240d-496ad97b0b0d
3850,"[38380, 48554]",Ushio to Tora,7e3b2cb4-bd31-4f83-e995-f071fb8f64d3
22,"[947, 948, 1017, 1047, 4236, 6294, 8967, 9331, 15070, 19696, 53105, 87594, 135554, 145833, 154748, 154862, 159300, 200904, 218730, 241157, 245960, 248469, 248824, 314938]",Worms,aff2ecdc-3c49-db1d-fd25-1f011ec2e998
1121,[72425],The Little Prince,06967a82-d169-c23f-4cdb-e37451e0eb77
1480,"[29491, 64478, 88806, 121197, 261803]",American Dad!,4c81e9eb-5e78-189f-839c-846a7caac16f
3559,[70124],Mars of Destruction,d4198cf9-ca60-cd58-e660-5b062e863844
674,"[11448, 13550]",Golden Time,2bf0b1ca-676d-8b25-383d-cb4b98b4f26e
1137,[48363],Outlanders,dce21572-4e73-b4c9-a0aa-88dca9235250
1235,"[81570, 87796]",Gurren Lagann,950eb8f9-aca7-eadb-8826-22842b036ad3
5295,"[286118, 286119, 286120, 286122]",Rasmus Klump,dd712938-b90e-2b80-ae79-1ab94f4b9ba0
5590,"[160134, 188882]",Teasing Master Takagi-san,2507c221-d8d4-f1cc-4e13-7219466d6ec5
4564,"[1227, 1228, 1229, 1346, 2364, 2366, 9553, 25021, 26766, 26805, 51143, 51145, 103340, 122238, 127790, 134328, 191411, 225389, 236666, 236667, 236668, 236669, 236670, 240497, 241167, 245690, 254099]",Xeno,9b6473d1-f09e-b66d-9ab0-1d82da753d50
4601,"[57675, 249773, 253123, 253124, 253714, 253717, 253719, 253724, 253760, 253761, 253764, 253765, 253766, 270480]",Madou Monogatari,527e8ca9-da22-7dcd-414b-7683639dc2bd
4739,[256871],Stretch Armstrong,bd3e5709-27ef-e8c8-e9f1-01ad1bb3267b
742,"[15071, 15109, 15110, 15111, 15112, 15113, 15114, 15115, 15116, 15117, 15118]",Star Wraith,143da196-ac43-dcb6-c4a9-c8cea3f17bb0
4740,"[49257, 256866]",Spirit,1a0bf221-f7e0-f89f-32df-af30a237c80b
